"","ticker","transaction","cost_share","number_shares","total_value","datetime","date","time"
"121","MIRM","Sale",74,"50,000","3,700,000","Dec 02 04:04 PM","2025-12-02",16:04:00
"122","MTG","Sale",28.4,"30,000","852,030","Dec 02 04:04 PM","2025-12-02",16:04:00
"123","DDOG","Proposed Sale",160,"6,766","1,082,560","Dec 02 04:04 PM","2025-12-02",16:04:00
"124","VIAV","Proposed Sale",17.81,"9,871","175,767","Dec 02 04:03 PM","2025-12-02",16:03:00
"125","DRS","Sale",33.74,"3,840","129,562","Dec 02 04:03 PM","2025-12-02",16:03:00
"126","DDOG","Proposed Sale",160,"10,609","1,697,440","Dec 02 04:03 PM","2025-12-02",16:03:00
"127","VIAV","Proposed Sale",17.76,"58,939","1,047,010","Dec 02 04:03 PM","2025-12-02",16:03:00
"128","DDOG","Proposed Sale",160,"5,057","809,120","Dec 02 04:03 PM","2025-12-02",16:03:00
"129","FROG","Proposed Sale",60.09,"1,368","82,203","Dec 02 04:03 PM","2025-12-02",16:03:00
"130","DOCU","Proposed Sale",68.54,"450","30,843","Dec 02 04:02 PM","2025-12-02",16:02:00
"131","CTM","Sale",1.05,"18,000","18,990","Dec 02 04:02 PM","2025-12-02",16:02:00
"132","CTM","Sale",1.05,"35,000","36,750","Dec 02 04:02 PM","2025-12-02",16:02:00
"133","ATOM","Sale",2.39,"3,614","8,637","Dec 02 04:02 PM","2025-12-02",16:02:00
"134","DDOG","Proposed Sale",160,"12,608","2,017,280","Dec 02 04:02 PM","2025-12-02",16:02:00
"135","VRSN","Proposed Sale",252.62,"501","126,563","Dec 02 04:02 PM","2025-12-02",16:02:00
"136","APH","Sale",141.84,"132,000","18,722,840","Dec 02 04:02 PM","2025-12-02",16:02:00
"137","ATOM","Sale",2.39,"4,451","10,638","Dec 02 04:02 PM","2025-12-02",16:02:00
"138","ATOM","Sale",2.39,"9,341","22,325","Dec 02 04:02 PM","2025-12-02",16:02:00
"139","COF","Proposed Sale",221.54,"2,000","443,080","Dec 02 04:02 PM","2025-12-02",16:02:00
