"ticker","transaction","cost_share","number_shares","total_value","date","time"
"DOCU","Proposed Sale",68.54,"450","30,843","2025-12-02","04:02 PM"
"CTM","Sale",1.05,"18,000","18,990","2025-12-02","04:02 PM"
"CTM","Sale",1.05,"35,000","36,750","2025-12-02","04:02 PM"
"ATOM","Sale",2.39,"3,614","8,637","2025-12-02","04:02 PM"
"DDOG","Proposed Sale",160,"12,608","2,017,280","2025-12-02","04:02 PM"
"VRSN","Proposed Sale",252.62,"501","126,563","2025-12-02","04:02 PM"
"APH","Sale",141.84,"132,000","18,722,840","2025-12-02","04:02 PM"
"ATOM","Sale",2.39,"4,451","10,638","2025-12-02","04:02 PM"
"ATOM","Sale",2.39,"9,341","22,325","2025-12-02","04:02 PM"
"COF","Proposed Sale",221.54,"2,000","443,080","2025-12-02","04:02 PM"
"DDOG","Proposed Sale",160,"2,573","411,680","2025-12-02","04:02 PM"
"YELP","Proposed Sale",28.85,"195","5,626","2025-12-02","04:02 PM"
"CNXC","Sale",35.5,"500","17,750","2025-12-02","04:02 PM"
"DDOG","Proposed Sale",160,"13,868","2,218,880","2025-12-02","04:01 PM"
"IRTC","Proposed Sale",184.83,"280","51,752","2025-12-02","04:01 PM"
"APH","Sale",142,"80,000","11,360,232","2025-12-02","04:01 PM"
"DDOG","Proposed Sale",160,"15,337","2,453,920","2025-12-02","04:01 PM"
"DOCU","Proposed Sale",68.54,"365","25,017","2025-12-02","04:01 PM"
"DDOG","Proposed Sale",160,"8,572","1,371,520","2025-12-02","04:01 PM"
"BATRA","Sale",39.46,"20,000","789,180","2025-12-02","04:01 PM"
"BATRK","Sale",39.46,"20,000","789,180","2025-12-02","04:01 PM"
"HGBL","Sale",1.31,"3,734","4,892","2025-12-02","04:00 PM"
"ROP","Sale",445.56,"6,000","2,673,390","2025-12-02","04:00 PM"
"PEN","Proposed Sale",292.98,"100","29,298","2025-12-02","03:59 PM"
"UTHR","Proposed Sale",481.29,"4,000","1,925,143","2025-12-02","03:58 PM"
"TTWO","Proposed Sale",248.11,"1,107","274,655","2025-12-02","03:56 PM"
"ALUR","Proposed Sale",1.36,"3,212","4,384","2025-12-02","03:56 PM"
"CAT","Sale",571.44,"10,000","5,714,448","2025-12-02","03:53 PM"
"TTWO","Proposed Sale",248.11,"1,612","399,949","2025-12-02","03:48 PM"
"WHG","Proposed Sale",16.36,"13,058","213,629","2025-12-02","03:41 PM"
"CPF","Proposed Sale",30,"5,000","150,000","2025-12-02","03:41 PM"
"GRX","Sale",9.12,"2,000","18,240","2025-12-02","03:38 PM"
"GRX","Sale",9.2,"2,000","18,400","2025-12-02","03:38 PM"
"GRX","Sale",9.5,"200","1,900","2025-12-02","03:38 PM"
"GRX","Sale",9.5,"800","7,600","2025-12-02","03:38 PM"
"GRX","Sale",9.26,"1,000","9,261","2025-12-02","03:38 PM"
"GRX","Sale",9.27,"1,000","9,270","2025-12-02","03:38 PM"
"GRX","Sale",9.15,"1,000","9,154","2025-12-02","03:38 PM"
"GRX","Sale",9.12,"1,000","9,122","2025-12-02","03:38 PM"
"U","Sale",41.93,"250,000","10,482,692","2025-12-02","03:31 PM"
"TMO","Proposed Sale",581.92,"30,000","17,457,611","2025-12-02","03:29 PM"
"SITM","Proposed Sale",302,"1,500","453,000","2025-12-02","03:28 PM"
"U","Sale",42.47,"1,988","84,430","2025-12-02","03:17 PM"
"IAS","Proposed Sale",10.28,"2,781","28,591","2025-12-02","03:15 PM"
