"ticker","transaction","cost_share","number_shares","total_value","datetime","date","time"
"TDOC","Proposed Sale",7.49,2324,17403,"Dec 02 04:14 PM",2025-12-02,16:14:00
"CLS","Sale",323.38,3160,1021881,"Dec 02 04:14 PM",2025-12-02,16:14:00
"LOCL","Proposed Sale",2.53,1011,2556,"Dec 02 04:14 PM",2025-12-02,16:14:00
"RL","Proposed Sale",366,1882,688812,"Dec 02 04:14 PM",2025-12-02,16:14:00
"CLS","Sale",323.38,9187,2970892,"Dec 02 04:14 PM",2025-12-02,16:14:00
"SLP","Sale",16.91,866,14644,"Dec 02 04:14 PM",2025-12-02,16:14:00
"SBLK","Proposed Sale",19.86,50625,1005412,"Dec 02 04:13 PM",2025-12-02,16:13:00
"GNRC","Sale",148.27,5000,741350,"Dec 02 04:13 PM",2025-12-02,16:13:00
"APH","Proposed Sale",141.84,132000,18722840,"Dec 02 04:12 PM",2025-12-02,16:12:00
"IESC","Proposed Sale",413.9,5000,2069500,"Dec 02 04:12 PM",2025-12-02,16:12:00
"REPL","Proposed Sale",11.13,10000,111303,"Dec 02 04:11 PM",2025-12-02,16:11:00
"APH","Proposed Sale",142,80000,11360232,"Dec 02 04:11 PM",2025-12-02,16:11:00
"H","Sale",163.36,1600,261376,"Dec 02 04:10 PM",2025-12-02,16:10:00
"COHR","Proposed Sale",170,2000,340000,"Dec 02 04:09 PM",2025-12-02,16:09:00
"RKT","Sale",19.89,2500,49722,"Dec 02 04:09 PM",2025-12-02,16:09:00
"RKT","Sale",19.81,2500,49534,"Dec 02 04:09 PM",2025-12-02,16:09:00
"VCEL","Proposed Sale",37.97,2500,94919,"Dec 02 04:08 PM",2025-12-02,16:08:00
"ADI","Sale",265.84,5914,1572134,"Dec 02 04:08 PM",2025-12-02,16:08:00
"BKNG","Proposed Sale",5000,40,2e+05,"Dec 02 04:08 PM",2025-12-02,16:08:00
"RIVN","Proposed Sale",17.14,21210,363469,"Dec 02 04:07 PM",2025-12-02,16:07:00
"ACVA","Sale",8,1750,14000,"Dec 02 04:06 PM",2025-12-02,16:06:00
"QTTB","Proposed Sale",3.46,9072,31395,"Dec 02 04:05 PM",2025-12-02,16:05:00
"WDC","Proposed Sale",160.57,2801,449752,"Dec 02 04:05 PM",2025-12-02,16:05:00
"MMC","Sale",182.22,21079,3841015,"Dec 02 04:05 PM",2025-12-02,16:05:00
"PCOR","Proposed Sale",75.3,10000,753000,"Dec 02 04:05 PM",2025-12-02,16:05:00
"QCOM","Proposed Sale",170,203,34510,"Dec 02 04:05 PM",2025-12-02,16:05:00
"IRMD","Sale",92.76,5000,463794,"Dec 02 04:05 PM",2025-12-02,16:05:00
"META","Proposed Sale",642.22,519,333312,"Dec 02 04:05 PM",2025-12-02,16:05:00
"EBC","Sale",19.05,4500,85725,"Dec 02 04:05 PM",2025-12-02,16:05:00
"INCY","Proposed Sale",102.51,20105,2060978,"Dec 02 04:04 PM",2025-12-02,16:04:00
"DRS","Sale",33.74,5294,178620,"Dec 02 04:04 PM",2025-12-02,16:04:00
"MIRM","Sale",74,50000,3700000,"Dec 02 04:04 PM",2025-12-02,16:04:00
"MTG","Sale",28.4,30000,852030,"Dec 02 04:04 PM",2025-12-02,16:04:00
"DDOG","Proposed Sale",160,6766,1082560,"Dec 02 04:04 PM",2025-12-02,16:04:00
"VIAV","Proposed Sale",17.81,9871,175767,"Dec 02 04:03 PM",2025-12-02,16:03:00
"DRS","Sale",33.74,3840,129562,"Dec 02 04:03 PM",2025-12-02,16:03:00
"DDOG","Proposed Sale",160,10609,1697440,"Dec 02 04:03 PM",2025-12-02,16:03:00
"VIAV","Proposed Sale",17.76,58939,1047010,"Dec 02 04:03 PM",2025-12-02,16:03:00
"DDOG","Proposed Sale",160,5057,809120,"Dec 02 04:03 PM",2025-12-02,16:03:00
"FROG","Proposed Sale",60.09,1368,82203,"Dec 02 04:03 PM",2025-12-02,16:03:00
"DOCU","Proposed Sale",68.54,450,30843,"Dec 02 04:02 PM",2025-12-02,16:02:00
"CTM","Sale",1.05,18000,18990,"Dec 02 04:02 PM",2025-12-02,16:02:00
"CTM","Sale",1.05,35000,36750,"Dec 02 04:02 PM",2025-12-02,16:02:00
"ATOM","Sale",2.39,3614,8637,"Dec 02 04:02 PM",2025-12-02,16:02:00
"DDOG","Proposed Sale",160,12608,2017280,"Dec 02 04:02 PM",2025-12-02,16:02:00
"VRSN","Proposed Sale",252.62,501,126563,"Dec 02 04:02 PM",2025-12-02,16:02:00
"APH","Sale",141.84,132000,18722840,"Dec 02 04:02 PM",2025-12-02,16:02:00
"ATOM","Sale",2.39,4451,10638,"Dec 02 04:02 PM",2025-12-02,16:02:00
"ATOM","Sale",2.39,9341,22325,"Dec 02 04:02 PM",2025-12-02,16:02:00
"COF","Proposed Sale",221.54,2000,443080,"Dec 02 04:02 PM",2025-12-02,16:02:00
"DDOG","Proposed Sale",160,2573,411680,"Dec 02 04:02 PM",2025-12-02,16:02:00
"YELP","Proposed Sale",28.85,195,5626,"Dec 02 04:02 PM",2025-12-02,16:02:00
"CNXC","Sale",35.5,500,17750,"Dec 02 04:02 PM",2025-12-02,16:02:00
"DDOG","Proposed Sale",160,13868,2218880,"Dec 02 04:01 PM",2025-12-02,16:01:00
"IRTC","Proposed Sale",184.83,280,51752,"Dec 02 04:01 PM",2025-12-02,16:01:00
"APH","Sale",142,80000,11360232,"Dec 02 04:01 PM",2025-12-02,16:01:00
"DDOG","Proposed Sale",160,15337,2453920,"Dec 02 04:01 PM",2025-12-02,16:01:00
"DOCU","Proposed Sale",68.54,365,25017,"Dec 02 04:01 PM",2025-12-02,16:01:00
"DDOG","Proposed Sale",160,8572,1371520,"Dec 02 04:01 PM",2025-12-02,16:01:00
"BATRA","Sale",39.46,20000,789180,"Dec 02 04:01 PM",2025-12-02,16:01:00
"BATRK","Sale",39.46,20000,789180,"Dec 02 04:01 PM",2025-12-02,16:01:00
"HGBL","Sale",1.31,3734,4892,"Dec 02 04:00 PM",2025-12-02,16:00:00
"ROP","Sale",445.56,6000,2673390,"Dec 02 04:00 PM",2025-12-02,16:00:00
"PEN","Proposed Sale",292.98,100,29298,"Dec 02 03:59 PM",2025-12-02,15:59:00
"UTHR","Proposed Sale",481.29,4000,1925143,"Dec 02 03:58 PM",2025-12-02,15:58:00
"TTWO","Proposed Sale",248.11,1107,274655,"Dec 02 03:56 PM",2025-12-02,15:56:00
"ALUR","Proposed Sale",1.36,3212,4384,"Dec 02 03:56 PM",2025-12-02,15:56:00
"CAT","Sale",571.44,10000,5714448,"Dec 02 03:53 PM",2025-12-02,15:53:00
"TTWO","Proposed Sale",248.11,1612,399949,"Dec 02 03:48 PM",2025-12-02,15:48:00
"WHG","Proposed Sale",16.36,13058,213629,"Dec 02 03:41 PM",2025-12-02,15:41:00
"CPF","Proposed Sale",30,5000,150000,"Dec 02 03:41 PM",2025-12-02,15:41:00
"GRX","Sale",9.12,2000,18240,"Dec 02 03:38 PM",2025-12-02,15:38:00
"GRX","Sale",9.2,2000,18400,"Dec 02 03:38 PM",2025-12-02,15:38:00
"GRX","Sale",9.5,200,1900,"Dec 02 03:38 PM",2025-12-02,15:38:00
"GRX","Sale",9.5,800,7600,"Dec 02 03:38 PM",2025-12-02,15:38:00
"GRX","Sale",9.26,1000,9261,"Dec 02 03:38 PM",2025-12-02,15:38:00
"GRX","Sale",9.27,1000,9270,"Dec 02 03:38 PM",2025-12-02,15:38:00
"GRX","Sale",9.15,1000,9154,"Dec 02 03:38 PM",2025-12-02,15:38:00
"GRX","Sale",9.12,1000,9122,"Dec 02 03:38 PM",2025-12-02,15:38:00
"U","Sale",41.93,250000,10482692,"Dec 02 03:31 PM",2025-12-02,15:31:00
"TMO","Proposed Sale",581.92,30000,17457611,"Dec 02 03:29 PM",2025-12-02,15:29:00
"SITM","Proposed Sale",302,1500,453000,"Dec 02 03:28 PM",2025-12-02,15:28:00
"U","Sale",42.47,1988,84430,"Dec 02 03:17 PM",2025-12-02,15:17:00
"IAS","Proposed Sale",10.28,2781,28591,"Dec 02 03:15 PM",2025-12-02,15:15:00
"SERV","Proposed Sale",9.82,2057,20203,"Dec 02 03:12 PM",2025-12-02,15:12:00
"PTCT","Proposed Sale",79.07,3428,271063,"Dec 02 03:11 PM",2025-12-02,15:11:00
"BFLY","Proposed Sale",2.83,1686,4769,"Dec 02 03:11 PM",2025-12-02,15:11:00
"PRU","Proposed Sale",107.69,8000,861520,"Dec 02 02:56 PM",2025-12-02,14:56:00
"BCRX","Proposed Sale",7.21,50906,367216,"Dec 02 02:09 PM",2025-12-02,14:09:00
"ABNB","Proposed Sale",120,11539,1384680,"Dec 02 02:02 PM",2025-12-02,14:02:00
"FNB","Proposed Sale",16.75,40000,670093,"Dec 02 01:46 PM",2025-12-02,13:46:00
"MNSB","Proposed Sale",19.7,40586,799544,"Dec 02 01:26 PM",2025-12-02,13:26:00
"MDB","Proposed Sale",409.94,4000,1639743,"Dec 02 01:20 PM",2025-12-02,13:20:00
"KAR","Proposed Sale",25.86,88062,2277283,"Dec 02 12:59 PM",2025-12-02,12:59:00
"REXR","Proposed Sale",41.5,80250,3330375,"Dec 02 12:55 PM",2025-12-02,12:55:00
"GDV","Sale",26.78,420,11248,"Dec 02 12:53 PM",2025-12-02,12:53:00
"GDV","Sale",26.86,500,13430,"Dec 02 12:53 PM",2025-12-02,12:53:00
"ISRG","Sale",570.89,22806,13019722,"Dec 02 12:50 PM",2025-12-02,12:50:00
"WT","Proposed Sale",11.12,6820,75870,"Dec 02 12:22 PM",2025-12-02,12:22:00
"RXRX","Proposed Sale",4.37,220000,961400,"Dec 02 12:15 PM",2025-12-02,12:15:00
"VECO","Proposed Sale",29.08,25000,726993,"Dec 02 12:13 PM",2025-12-02,12:13:00
"ARAY","Proposed Sale",1.02,19993,20393,"Dec 02 11:55 AM",2025-12-02,11:55:00
"SNCY","Proposed Sale",13.95,623,8691,"Dec 02 11:45 AM",2025-12-02,11:45:00
"ARAY","Proposed Sale",1.02,68058,69419,"Dec 02 11:35 AM",2025-12-02,11:35:00
"MSFT","Proposed Sale",491.52,12750,6266832,"Dec 02 11:34 AM",2025-12-02,11:34:00
"NVDA","Proposed Sale",183.93,12728,2341117,"Dec 02 11:34 AM",2025-12-02,11:34:00
"AVA","Sale",40.87,127,5190,"Dec 02 11:33 AM",2025-12-02,11:33:00
"CBZ","Proposed Sale",48.61,8288,402879,"Dec 02 11:30 AM",2025-12-02,11:30:00
"LDI","Proposed Sale",2.74,9403,25719,"Dec 02 11:02 AM",2025-12-02,11:02:00
"MCD","Sale",305.5,6567,2006218,"Dec 02 10:59 AM",2025-12-02,10:59:00
"GNW","Proposed Sale",8.64,40000,345600,"Dec 02 10:53 AM",2025-12-02,10:53:00
"KEX","Sale",114.12,1500,171180,"Dec 02 10:53 AM",2025-12-02,10:53:00
"MEGI","Sale",14.34,16338,234287,"Dec 02 10:50 AM",2025-12-02,10:50:00
