"ticker","transaction","cost_share","number_shares","total_value","datetime","date","time"
"RMD","Proposed Sale",244.16,"1,000","244,160","Dec 01 12:11 PM","2025-12-01","12:11:00"
"NXT","Proposed Sale",89.33,"4,500","401,985","Dec 01 12:10 PM","2025-12-01","12:10:00"
"CRCL","Proposed Sale",77.49,"100,000","7,749,000","Dec 01 12:08 PM","2025-12-01","12:08:00"
"RMD","Proposed Sale",244.16,"50","12,208","Dec 01 12:08 PM","2025-12-01","12:08:00"
"GNRC","Proposed Sale",148.27,"5,000","741,350","Dec 01 12:08 PM","2025-12-01","12:08:00"
"BV","Proposed Sale",12.62,"35,000","441,548","Dec 01 12:07 PM","2025-12-01","12:07:00"
"MTG","Proposed Sale",28.24,"30,000","847,200","Dec 01 11:57 AM","2025-12-01","11:57:00"
"KEYS","Proposed Sale",196.42,"12,528","2,460,750","Dec 01 11:56 AM","2025-12-01","11:56:00"
"WEYS","Sale",30.09,"1,059","31,865","Dec 01 11:55 AM","2025-12-01","11:55:00"
"FOA","Proposed Sale",23.49,"750","17,618","Dec 01 11:55 AM","2025-12-01","11:55:00"
"SNOW","Proposed Sale",249.53,"10,000","2,495,300","Dec 01 11:54 AM","2025-12-01","11:54:00"
"L","Proposed Sale",107.93,"1,442","155,642","Dec 01 11:51 AM","2025-12-01","11:51:00"
"TRU","Proposed Sale",84.04,"1,000","84,040","Dec 01 11:47 AM","2025-12-01","11:47:00"
"HURN","Proposed Sale",164.2,"800","131,360","Dec 01 11:43 AM","2025-12-01","11:43:00"
"HMN","Proposed Sale",45.59,"5,000","227,950","Dec 01 11:40 AM","2025-12-01","11:40:00"
"EONR","Buy",0.43,"25,000","10,698","Dec 01 04:25 PM","2025-12-01","16:25:00"
"UFI","Buy",3.48,"9,324","32,448","Dec 01 04:19 PM","2025-12-01","16:19:00"
"UFI","Buy",3.51,"2,426","8,515","Dec 01 04:19 PM","2025-12-01","16:19:00"
"ABR","Buy",9.02,"12,800","115,456","Dec 01 04:16 PM","2025-12-01","16:16:00"
"JNJ","Buy",206.15,"1,250","257,688","Dec 01 04:15 PM","2025-12-01","16:15:00"
"SELF","Buy",5.16,"3,342","17,229","Dec 01 04:12 PM","2025-12-01","16:12:00"
"SELF","Buy",5.18,"3,062","15,853","Dec 01 04:12 PM","2025-12-01","16:12:00"
"SRBK","Buy",15.38,"200","3,076","Dec 01 04:09 PM","2025-12-01","16:09:00"
"ELA","Buy",11.78,"90","1,060","Dec 01 04:07 PM","2025-12-01","16:07:00"
"DLPN","Buy",1.67,"2,950","4,924","Dec 01 04:05 PM","2025-12-01","16:05:00"
"MNR","Buy",11.63,"40,000","465,200","Dec 01 04:05 PM","2025-12-01","16:05:00"
"FSSL","Buy",13.35,"7,460","99,591","Dec 01 04:03 PM","2025-12-01","16:03:00"
"TPVG","Buy",6.39,"15,000","95,816","Dec 01 04:01 PM","2025-12-01","16:01:00"
"TPVG","Buy",6.38,"50,000","319,195","Dec 01 04:01 PM","2025-12-01","16:01:00"
"TPVG","Buy",6.46,"14,868","96,119","Dec 01 04:01 PM","2025-12-01","16:01:00"
"TPVG","Buy",6.39,"15,000","95,816","Dec 01 04:01 PM","2025-12-01","16:01:00"
"TPVG","Buy",6.38,"50,000","319,195","Dec 01 04:01 PM","2025-12-01","16:01:00"
"TPVG","Buy",6.46,"14,868","96,119","Dec 01 04:01 PM","2025-12-01","16:01:00"
"AVBC","Buy",16.13,"5,000","80,656","Dec 01 03:37 PM","2025-12-01","15:37:00"
